project_id,months,monthly_planned,cumm_monthly_planned,monthly_actual,cumm_monthly_actual,monthly_invoiced,cumm_monthly_invoiced
LMD-Bridge,1-Nov-25,17000000.00,17000000.00,11849000.00,11849000.00,0.00,0.00
LMD-Bridge,1-Dec-25,34000000.00,51000000.00,24534400.00,36383400.00,0.00,0.00
LMD-Bridge,1-Jan-26,59500000.00,110500000.00,44398900.00,80782300.00,34631142.00,34631142.00
LMD-Bridge,1-Feb-26,85000000.00,195500000.00,65518000.00,146300300.00,51104040.00,85735182.00
LMD-Bridge,1-Mar-26,102000000.00,297500000.00,81130800.00,227431100.00,63282024.00,149017206.00
LMD-Bridge,1-Apr-26,119000000.00,416500000.00,97580000.00,325011100.00,76112400.00,225129606.00
LMD-Bridge,1-May-26,110500000.00,527000000.00,93328300.00,418339400.00,72796074.00,297925680.00
LMD-Bridge,1-Jun-26,102000000.00,629000000.00,88658400.00,506997800.00,69153552.00,367079232.00
LMD-Bridge,1-Jul-26,85000000.00,714000000.00,60222500.00,567220300.00,46973550.00,414052782.00
LMD-Bridge,1-Aug-26,68000000.00,782000000.00,49504000.00,616724300.00,38613120.00,452665902.00
