project_id,MEP Activity ID,MEP Schedule Activity ID,Phase,Building / Zone,Activity Name,Original Duration,Start,Finish,Predecessor Activity ID(s),Predecessor Relationship Details,Successor Activity ID(s),Successor Relationship Details,Related Civil Activity ID,Related Civil Activity Name,Related Civil Start,Related Civil Finish,Civil Finish After MEP Insertion,Source Schedule Activity ID,Source Schedule Activity Name,Source WBS,Match Score,Date Basis,Insertion Note
LMD-Bridge,MEP-LB-001,MEP-SUB-LB-001,Engineering,North Abutment,Submittal for navigation-light conduits shop drawings,18.0,11-Feb-26,1-Mar-26,,,MEP-APP-LB-001,SS +12d; FF +10d,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,17-May-26,29-May-26,1-Jun-26,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,LMD-Bridge.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Submittal duration fixed at 18 days; early engineering alignment before civil release.
LMD-Bridge,MEP-LB-001,MEP-APP-LB-001,Engineering,North Abutment,Approval of navigation-light conduits shop drawings,10.0,23-Feb-26,5-Mar-26,MEP-SUB-LB-001,SS +12d; FF +10d,MEP-PO-LB-001,FS,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,17-May-26,29-May-26,1-Jun-26,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,LMD-Bridge.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Approval duration fixed at 10 days and linked to submittal workflow.
LMD-Bridge,MEP-LB-001,MEP-PO-LB-001,Procurement,North Abutment,Procurement release for navigation-light conduits,7.0,7-Mar-26,14-Mar-26,MEP-APP-LB-001,FS,MEP-CON-LB-001,FS,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,17-May-26,29-May-26,1-Jun-26,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,LMD-Bridge.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Procurement release inserted before site installation to protect civil successor logic.
LMD-Bridge,MEP-LB-001,MEP-CON-LB-001,Construction,North Abutment,Installation and inspection of navigation-light conduits for North Abutment,3.0,14-May-26,17-May-26,MEP-PO-LB-001,FS,LB-Z01-RFT-1020,FS,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,17-May-26,29-May-26,1-Jun-26,LB-Z01-RFT-1020,Reinforcement and embedded item release - North Abutment,LMD-Bridge.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Construction insertion ends before the related civil reinforcement/formwork release.
LMD-Bridge,MEP-LB-002,MEP-SUB-LB-002,Engineering,Pier Zone,Submittal for drainage sleeves shop drawings,18.0,28-Mar-26,15-Apr-26,,,MEP-APP-LB-002,SS +12d; FF +10d,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,1-Jul-26,13-Jul-26,17-Jul-26,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,LMD-Bridge.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Submittal duration fixed at 18 days; early engineering alignment before civil release.
LMD-Bridge,MEP-LB-002,MEP-APP-LB-002,Engineering,Pier Zone,Approval of drainage sleeves shop drawings,10.0,9-Apr-26,19-Apr-26,MEP-SUB-LB-002,SS +12d; FF +10d,MEP-PO-LB-002,FS,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,1-Jul-26,13-Jul-26,17-Jul-26,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,LMD-Bridge.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Approval duration fixed at 10 days and linked to submittal workflow.
LMD-Bridge,MEP-LB-002,MEP-PO-LB-002,Procurement,Pier Zone,Procurement release for drainage sleeves,7.0,21-Apr-26,28-Apr-26,MEP-APP-LB-002,FS,MEP-CON-LB-002,FS,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,1-Jul-26,13-Jul-26,17-Jul-26,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,LMD-Bridge.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Procurement release inserted before site installation to protect civil successor logic.
LMD-Bridge,MEP-LB-002,MEP-CON-LB-002,Construction,Pier Zone,Installation and inspection of drainage sleeves for Pier Zone,4.0,27-Jun-26,1-Jul-26,MEP-PO-LB-002,FS,LB-Z02-RFT-1020,FS,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,1-Jul-26,13-Jul-26,17-Jul-26,LB-Z02-RFT-1020,Reinforcement and embedded item release - Pier Zone,LMD-Bridge.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Construction insertion ends before the related civil reinforcement/formwork release.
LMD-Bridge,MEP-LB-003,MEP-SUB-LB-003,Engineering,Deck Segment,Submittal for expansion-joint earthing shop drawings,18.0,12-May-26,30-May-26,,,MEP-APP-LB-003,SS +12d; FF +10d,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,15-Aug-26,27-Aug-26,29-Aug-26,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,LMD-Bridge.BL.CW.03.STR,98,Generated baseline logic + matched civil start,Submittal duration fixed at 18 days; early engineering alignment before civil release.
LMD-Bridge,MEP-LB-003,MEP-APP-LB-003,Engineering,Deck Segment,Approval of expansion-joint earthing shop drawings,10.0,24-May-26,3-Jun-26,MEP-SUB-LB-003,SS +12d; FF +10d,MEP-PO-LB-003,FS,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,15-Aug-26,27-Aug-26,29-Aug-26,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,LMD-Bridge.BL.CW.03.STR,98,Generated baseline logic + matched civil start,Approval duration fixed at 10 days and linked to submittal workflow.
LMD-Bridge,MEP-LB-003,MEP-PO-LB-003,Procurement,Deck Segment,Procurement release for expansion-joint earthing,7.0,5-Jun-26,12-Jun-26,MEP-APP-LB-003,FS,MEP-CON-LB-003,FS,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,15-Aug-26,27-Aug-26,29-Aug-26,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,LMD-Bridge.BL.CW.03.STR,98,Generated baseline logic + matched civil start,Procurement release inserted before site installation to protect civil successor logic.
LMD-Bridge,MEP-LB-003,MEP-CON-LB-003,Construction,Deck Segment,Installation and inspection of expansion-joint earthing for Deck Segment,2.0,13-Aug-26,15-Aug-26,MEP-PO-LB-003,FS,LB-Z03-RFT-1020,FS,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,15-Aug-26,27-Aug-26,29-Aug-26,LB-Z03-RFT-1020,Reinforcement and embedded item release - Deck Segment,LMD-Bridge.BL.CW.03.STR,98,Generated baseline logic + matched civil start,Construction insertion ends before the related civil reinforcement/formwork release.
LMD-Bridge,MEP-LB-004,MEP-SUB-LB-004,Engineering,South Abutment,Submittal for instrumentation ducts shop drawings,18.0,26-Jun-26,14-Jul-26,,,MEP-APP-LB-004,SS +12d; FF +10d,LB-Z04-RFT-1020,Reinforcement and embedded item release - South Abutment,29-Sep-26,11-Oct-26,14-Oct-26,LB-Z04-RFT-1020,Reinforcement and embedded item release - South Abutment,LMD-Bridge.BL.CW.04.STR,94,Generated baseline logic + matched civil start,Submittal duration fixed at 18 days; early engineering alignment before civil release.
