project_id,MEP Activity ID,MEP Schedule Activity ID,Phase,Building / Zone,Activity Name,Original Duration,Start,Finish,Predecessor Activity ID(s),Predecessor Relationship Details,Successor Activity ID(s),Successor Relationship Details,Related Civil Activity ID,Related Civil Activity Name,Related Civil Start,Related Civil Finish,Civil Finish After MEP Insertion,Source Schedule Activity ID,Source Schedule Activity Name,Source WBS,Match Score,Date Basis,Insertion Note
Sophia-Mall,MEP-SM-001,MEP-SUB-SM-001,Engineering,Podium,Submittal for hvac sleeves shop drawings,18.0,19-Jan-26,6-Feb-26,,,MEP-APP-SM-001,SS +12d; FF +10d,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,24-Apr-26,6-May-26,9-May-26,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,Sophia-Mall.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Submittal duration fixed at 18 days; early engineering alignment before civil release.
Sophia-Mall,MEP-SM-001,MEP-APP-SM-001,Engineering,Podium,Approval of hvac sleeves shop drawings,10.0,31-Jan-26,10-Feb-26,MEP-SUB-SM-001,SS +12d; FF +10d,MEP-PO-SM-001,FS,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,24-Apr-26,6-May-26,9-May-26,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,Sophia-Mall.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Approval duration fixed at 10 days and linked to submittal workflow.
Sophia-Mall,MEP-SM-001,MEP-PO-SM-001,Procurement,Podium,Procurement release for hvac sleeves,7.0,12-Feb-26,19-Feb-26,MEP-APP-SM-001,FS,MEP-CON-SM-001,FS,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,24-Apr-26,6-May-26,9-May-26,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,Sophia-Mall.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Procurement release inserted before site installation to protect civil successor logic.
Sophia-Mall,MEP-SM-001,MEP-CON-SM-001,Construction,Podium,Installation and inspection of hvac sleeves for Podium,3.0,21-Apr-26,24-Apr-26,MEP-PO-SM-001,FS,SM-Z01-RFT-1020,FS,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,24-Apr-26,6-May-26,9-May-26,SM-Z01-RFT-1020,Reinforcement and embedded item release - Podium,Sophia-Mall.BL.CW.01.STR,106,Generated baseline logic + matched civil start,Construction insertion ends before the related civil reinforcement/formwork release.
Sophia-Mall,MEP-SM-002,MEP-SUB-SM-002,Engineering,Retail Block A,Submittal for elv conduits shop drawings,18.0,5-Mar-26,23-Mar-26,,,MEP-APP-SM-002,SS +12d; FF +10d,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,8-Jun-26,20-Jun-26,24-Jun-26,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,Sophia-Mall.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Submittal duration fixed at 18 days; early engineering alignment before civil release.
Sophia-Mall,MEP-SM-002,MEP-APP-SM-002,Engineering,Retail Block A,Approval of elv conduits shop drawings,10.0,17-Mar-26,27-Mar-26,MEP-SUB-SM-002,SS +12d; FF +10d,MEP-PO-SM-002,FS,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,8-Jun-26,20-Jun-26,24-Jun-26,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,Sophia-Mall.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Approval duration fixed at 10 days and linked to submittal workflow.
Sophia-Mall,MEP-SM-002,MEP-PO-SM-002,Procurement,Retail Block A,Procurement release for elv conduits,7.0,29-Mar-26,5-Apr-26,MEP-APP-SM-002,FS,MEP-CON-SM-002,FS,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,8-Jun-26,20-Jun-26,24-Jun-26,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,Sophia-Mall.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Procurement release inserted before site installation to protect civil successor logic.
Sophia-Mall,MEP-SM-002,MEP-CON-SM-002,Construction,Retail Block A,Installation and inspection of elv conduits for Retail Block A,4.0,4-Jun-26,8-Jun-26,MEP-PO-SM-002,FS,SM-Z02-RFT-1020,FS,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,8-Jun-26,20-Jun-26,24-Jun-26,SM-Z02-RFT-1020,Reinforcement and embedded item release - Retail Block A,Sophia-Mall.BL.CW.02.STR,102,Generated baseline logic + matched civil start,Construction insertion ends before the related civil reinforcement/formwork release.
Sophia-Mall,MEP-SM-003,MEP-SUB-SM-003,Engineering,Retail Block B,Submittal for fire alarm embedded boxes shop drawings,18.0,19-Apr-26,7-May-26,,,MEP-APP-SM-003,SS +12d; FF +10d,SM-Z03-RFT-1020,Reinforcement and embedded item release - Retail Block B,23-Jul-26,4-Aug-26,6-Aug-26,SM-Z03-RFT-1020,Reinforcement and embedded item release - Retail Block B,Sophia-Mall.BL.CW.03.STR,98,Generated baseline logic + matched civil start,Submittal duration fixed at 18 days; early engineering alignment before civil release.
Sophia-Mall,MEP-SM-003,MEP-APP-SM-003,Engineering,Retail Block B,Approval of fire alarm embedded boxes shop drawings,10.0,1-May-26,11-May-26,MEP-SUB-SM-003,SS +12d; FF +10d,MEP-PO-SM-003,FS,SM-Z03-RFT-1020,Reinforcement and embedded item release - Retail Block B,23-Jul-26,4-Aug-26,6-Aug-26,SM-Z03-RFT-1020,Reinforcement and embedded item release - Retail Block B,Sophia-Mall.BL.CW.03.STR,98,Generated baseline logic + matched civil start,Approval duration fixed at 10 days and linked to submittal workflow.
