project_id,months,monthly_planned,cumm_monthly_planned,monthly_actual,cumm_monthly_actual,monthly_invoiced,cumm_monthly_invoiced
The Big -P.01-UP-20-April-26,1-Oct-25,0.0,0.0,3974600.57,3974600.57,0.0,0.0
The Big -P.01-UP-20-April-26,1-Nov-25,8347296.45,8347296.45,8089030.9,12063631.47,0.0,0.0
The Big -P.01-UP-20-April-26,1-Dec-25,61405155.86,69752452.31,8521118.53,20584750.0,23485862.02,23485862.02
The Big -P.01-UP-20-April-26,1-Jan-26,67496644.02,137249096.3,34796118.93,55380868.93,46408963.51,69894825.53
The Big -P.01-UP-20-April-26,1-Feb-26,33633991.22,170883087.6,20205303.35,75586172.28,40393706.06,110288531.6
The Big -P.01-UP-20-April-26,1-Mar-26,38111113.51,208994201.1,14348185.06,89934357.34,17641618.94,127930150.5
The Big -P.01-UP-20-April-26,1-Apr-26,29721101.71,238715302.8,17873350.85,107807708.2,15475615.0,143405765.5
The Big -P.01-UP-20-April-26,1-May-26,20259735.78,258975038.6,5277326.61,113085034.8,0.0,0.0
The Big -P.01-UP-20-April-26,1-Jun-26,13490432.04,272465470.6,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Jul-26,14762397.2,287227867.8,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Aug-26,9924530.76,297152398.6,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Sep-26,12399329.58,309551728.1,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Oct-26,8650019.18,318201747.3,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Nov-26,14242110.8,332443858.1,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Dec-26,10767589.67,343211447.8,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Jan-27,14357924.01,357569371.8,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Feb-27,9156113.78,366725485.6,0.0,0.0,0.0,0.0
The Big -P.01-UP-20-April-26,1-Mar-27,560539.45,367286025.0,0.0,0.0,0.0,0.0
