project_id,activity_id,activity_name,period,BAC,AC,EV,PV,CPI,SPI,CV,SV
Suez-Tunnel,KD-MS-1000,Project Start Date,May-26,15060240.96,15963855.42,15060240.96,15060240.96,0.94,1.00,-903614.46,0.00
Suez-Tunnel,KD-MS-1010,Contract Agreement,May-26,15060240.96,15963855.42,15060240.96,15060240.96,0.94,1.00,-903614.46,0.00
Suez-Tunnel,KD-MS-1020,IFC Drawing Package,May-26,15060240.96,15963855.42,15060240.96,15060240.96,0.94,1.00,-903614.46,0.00
Suez-Tunnel,KD-MOB-1000,Mobilization and temporary facilities,May-26,30120481.93,31927710.84,30120481.93,30120481.93,0.94,1.00,-1807228.92,0.00
Suez-Tunnel,SUR-ST-1010,Topographic survey and utility detection,May-26,30120481.93,31927710.84,30120481.93,30120481.93,0.94,1.00,-1807228.92,0.00
Suez-Tunnel,E-SUB-ST-1020,Tunnel alignment shop drawings,May-26,45180722.89,39750000.00,37500000.00,45180722.89,0.94,0.83,-2250000.00,-7680722.89
Suez-Tunnel,E-APP-ST-1020,Approval of tunnel alignment shop drawings,May-26,45180722.89,31800000.00,30000000.00,36144578.31,0.94,0.83,-1800000.00,-6144578.31
Suez-Tunnel,P-MDEL-ST-1000,Delivery of waterproofing membrane and steel,May-26,75301204.82,47700000.00,45000000.00,54216867.47,0.94,0.83,-2700000.00,-9216867.47
Suez-Tunnel,CON-ST-EXC-1010,Open cut excavation and shoring,May-26,150602409.64,108650000.00,102500000.00,123493975.90,0.94,0.83,-6150000.00,-20993975.90
Suez-Tunnel,CON-ST-RFT-1020,RFT for base slab reinforcement,May-26,150602409.64,79500000.00,75000000.00,90361445.78,0.94,0.83,-4500000.00,-15361445.78
Suez-Tunnel,CON-ST-CON-1030,Concrete casting for base slab,May-26,150602409.64,55650000.00,52500000.00,63253012.05,0.94,0.83,-3150000.00,-10753012.05
Suez-Tunnel,CON-ST-WALL-1040,Tunnel wall reinforcement and formwork,May-26,150602409.64,33125000.00,31250000.00,37650602.41,0.94,0.83,-1875000.00,-6400602.41
Suez-Tunnel,CON-ST-SLAB-1050,Roof slab reinforcement and concrete,May-26,150602409.64,6625000.00,6250000.00,7530120.48,0.94,0.83,-375000.00,-1280120.48
Suez-Tunnel,MEP-ST-DRN-1060,Drainage and pump station rough-in,May-26,90361445.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Suez-Tunnel,FIN-ST-RD-1070,Road reinstatement and asphalt works,May-26,90361445.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Suez-Tunnel,TST-ST-1080,Integrated testing and commissioning,May-26,30120481.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Suez-Tunnel,KD-MS-9000,Substantial Completion,May-26,15060240.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
