project_id,months,monthly_planned,cumm_monthly_planned,monthly_actual,cumm_monthly_actual,monthly_invoiced,cumm_monthly_invoiced
Suez-Tunnel,1-Sep-25,25000000.00,25000000.00,17637500.00,17637500.00,0.00,0.00
Suez-Tunnel,1-Oct-25,50000000.00,75000000.00,36520000.00,54157500.00,0.00,0.00
Suez-Tunnel,1-Nov-25,87500000.00,162500000.00,66088750.00,120246250.00,51549225.00,51549225.00
Suez-Tunnel,1-Dec-25,125000000.00,287500000.00,97525000.00,217771250.00,76069500.00,127618725.00
Suez-Tunnel,1-Jan-26,150000000.00,437500000.00,120765000.00,338536250.00,94196700.00,221815425.00
Suez-Tunnel,1-Feb-26,175000000.00,612500000.00,145250000.00,483786250.00,113295000.00,335110425.00
Suez-Tunnel,1-Mar-26,162500000.00,775000000.00,138921250.00,622707500.00,108358575.00,443469000.00
Suez-Tunnel,1-Apr-26,150000000.00,925000000.00,131970000.00,754677500.00,102936600.00,546405600.00
Suez-Tunnel,1-May-26,125000000.00,1050000000.00,88562500.00,843240000.00,69078750.00,615484350.00
Suez-Tunnel,1-Jun-26,100000000.00,1150000000.00,72800000.00,916040000.00,56784000.00,672268350.00
